Data de Extração,Num da Comp,Palavra Pivo,Periodo,Termo Buscado,date,values
13/09/2018 19:41,1º Comparação,consul,today 1-m,consul,2018-08-13,1
13/09/2018 19:41,1º Comparação,consul,today 1-m,consul,2018-08-14,1
13/09/2018 19:41,1º Comparação,consul,today 1-m,consul,2018-08-15,1
13/09/2018 19:41,1º Comparação,consul,today 1-m,consul,2018-08-16,1
13/09/2018 19:41,1º Comparação,consul,today 1-m,consul,2018-08-17,1
13/09/2018 19:41,1º Comparação,consul,today 1-m,consul,2018-08-18,1
13/09/2018 19:41,1º Comparação,consul,today 1-m,consul,2018-08-19,1
13/09/2018 19:41,1º Comparação,consul,today 1-m,consul,2018-08-20,2
13/09/2018 19:41,1º Comparação,consul,today 1-m,consul,2018-08-21,1
13/09/2018 19:41,1º Comparação,consul,today 1-m,consul,2018-08-22,1
13/09/2018 19:41,1º Comparação,consul,today 1-m,consul,2018-08-23,1
13/09/2018 19:41,1º Comparação,consul,today 1-m,consul,2018-08-24,1
13/09/2018 19:41,1º Comparação,consul,today 1-m,consul,2018-08-25,1
13/09/2018 19:41,1º Comparação,consul,today 1-m,consul,2018-08-26,1
13/09/2018 19:41,1º Comparação,consul,today 1-m,consul,2018-08-27,1
13/09/2018 19:41,1º Comparação,consul,today 1-m,consul,2018-08-28,1
13/09/2018 19:41,1º Comparação,consul,today 1-m,consul,2018-08-29,1
13/09/2018 19:41,1º Comparação,consul,today 1-m,consul,2018-08-30,1
13/09/2018 19:41,1º Comparação,consul,today 1-m,consul,2018-08-31,1
13/09/2018 19:41,1º Comparação,consul,today 1-m,consul,2018-09-01,1
13/09/2018 19:41,1º Comparação,consul,today 1-m,consul,2018-09-02,1
13/09/2018 19:41,1º Comparação,consul,today 1-m,consul,2018-09-03,1
13/09/2018 19:41,1º Comparação,consul,today 1-m,consul,2018-09-04,1
13/09/2018 19:41,1º Comparação,consul,today 1-m,consul,2018-09-05,1
13/09/2018 19:41,1º Comparação,consul,today 1-m,consul,2018-09-06,1
13/09/2018 19:41,1º Comparação,consul,today 1-m,consul,2018-09-07,1
13/09/2018 19:41,1º Comparação,consul,today 1-m,consul,2018-09-08,1
13/09/2018 19:41,1º Comparação,consul,today 1-m,consul,2018-09-09,1
13/09/2018 19:41,1º Comparação,consul,today 1-m,consul,2018-09-10,1
13/09/2018 19:41,1º Comparação,consul,today 1-m,consul,2018-09-11,1
13/09/2018 19:41,1º Comparação,consul,today 1-m,brastemp,2018-08-13,2
13/09/2018 19:41,1º Comparação,consul,today 1-m,brastemp,2018-08-14,2
13/09/2018 19:41,1º Comparação,consul,today 1-m,brastemp,2018-08-15,2
13/09/2018 19:41,1º Comparação,consul,today 1-m,brastemp,2018-08-16,2
13/09/2018 19:41,1º Comparação,consul,today 1-m,brastemp,2018-08-17,2
