Assuntos Relacionadas,Data de Extração,Periodo,Termo Buscado,Tipo,Top,Values
Cônsul,13/09/2018 19:41,today 1-m,consul,Assunto,1,100
Consul,13/09/2018 19:41,today 1-m,consul,Assunto,2,79
Refrigerador,13/09/2018 19:41,today 1-m,consul,Assunto,3,75
Máquina de lavar roupa,13/09/2018 19:41,today 1-m,consul,Assunto,4,30
Litro,13/09/2018 19:41,today 1-m,consul,Unidade de medida,5,29
Fogão,13/09/2018 19:41,today 1-m,consul,Assunto,6,29
Máquina,13/09/2018 19:41,today 1-m,consul,Assunto,7,28
lavar,13/09/2018 19:41,today 1-m,consul,Assunto,8,24
Ar,13/09/2018 19:41,today 1-m,consul,Assunto,9,16
Aço inoxidável,13/09/2018 19:41,today 1-m,consul,Assunto,10,16
Brastemp,13/09/2018 19:41,today 1-m,consul,Empresa,11,13
Água,13/09/2018 19:41,today 1-m,consul,Composto químico,12,13
Electrolux,13/09/2018 19:41,today 1-m,consul,Assunto,13,12
Ar-condicionado,13/09/2018 19:41,today 1-m,consul,Assunto,14,12
Forno de micro-ondas,13/09/2018 19:41,today 1-m,consul,Assunto,15,11
Magazine Luiza,13/09/2018 19:41,today 1-m,consul,Companhia,16,10
Fogão,13/09/2018 19:41,today 1-m,consul,Assunto,17,9
Vidro,13/09/2018 19:41,today 1-m,consul,Forma de arte visual,18,8
Fábrica de cerveja,13/09/2018 19:41,today 1-m,consul,Assunto,19,8
Casas Bahia,13/09/2018 19:41,today 1-m,consul,Empresa,20,7
Forno,13/09/2018 19:41,today 1-m,consul,Assunto,21,7
Unidade de tratamento de ar,13/09/2018 19:41,today 1-m,consul,Assunto,22,7
Quilograma,13/09/2018 19:41,today 1-m,consul,Unidade básica,23,6
Porta,13/09/2018 19:41,today 1-m,consul,Assunto,24,5
BTU,13/09/2018 19:41,today 1-m,consul,Unidade de medida,25,4
Brastemp,13/09/2018 19:41,today 1-m,brastemp,Empresa,1,100
Refrigerador,13/09/2018 19:41,today 1-m,brastemp,Assunto,2,35
Máquina de lavar roupa,13/09/2018 19:41,today 1-m,brastemp,Assunto,3,28
lavar,13/09/2018 19:41,today 1-m,brastemp,Assunto,4,24
Máquina,13/09/2018 19:41,today 1-m,brastemp,Assunto,5,23
Fogão,13/09/2018 19:41,today 1-m,brastemp,Assunto,6,19
Aço inoxidável,13/09/2018 19:41,today 1-m,brastemp,Assunto,7,12
Litro,13/09/2018 19:41,today 1-m,brastemp,Unidade de medida,8,12
Forno de micro-ondas,13/09/2018 19:41,today 1-m,brastemp,Assunto,9,9
Forno,13/09/2018 19:41,today 1-m,brastemp,Assunto,10,8
Roupa,13/09/2018 19:41,today 1-m,brastemp,Assunto,11,7
Electrolux,13/09/2018 19:41,today 1-m,brastemp,Assunto,12,6
Fogão,13/09/2018 19:41,today 1-m,brastemp,Assunto,13,6
Máquina de lavar louça,13/09/2018 19:41,today 1-m,brastemp,Assunto,14,5
Magazine Luiza,13/09/2018 19:41,today 1-m,brastemp,Companhia,15,4
Casas Bahia,13/09/2018 19:41,today 1-m,brastemp,Empresa,16,3
