geoName,values,Termo Buscado,Data de Extração,Palavra Pivo,Num da Comp,Periodo
Acre,95,GELADEIRA,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Alagoas,85,GELADEIRA,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Amapá,100,GELADEIRA,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Amazonas,97,GELADEIRA,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Bahia,85,GELADEIRA,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Ceará,77,GELADEIRA,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Distrito Federal,87,GELADEIRA,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Espírito Santo,85,GELADEIRA,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Goiás,85,GELADEIRA,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Maranhão,85,GELADEIRA,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Mato Grosso,90,GELADEIRA,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Mato Grosso do Sul,87,GELADEIRA,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Minas Gerais,85,GELADEIRA,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Paraná,85,GELADEIRA,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Paraíba,82,GELADEIRA,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Pará,92,GELADEIRA,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Pernambuco,80,GELADEIRA,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Piauí,82,GELADEIRA,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Rio Grande do Norte,80,GELADEIRA,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Rio Grande do Sul,72,GELADEIRA,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Rio de Janeiro,77,GELADEIRA,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Rondônia,95,GELADEIRA,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Roraima,97,GELADEIRA,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Santa Catarina,77,GELADEIRA,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Sergipe,82,GELADEIRA,24/08/2018 13:20,GELADEIRA,4º Comparação,all
São Paulo,80,GELADEIRA,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Tocantins,82,GELADEIRA,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Acre,52,FOGÃO,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Alagoas,45,FOGÃO,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Amapá,42,FOGÃO,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Amazonas,37,FOGÃO,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Bahia,42,FOGÃO,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Ceará,37,FOGÃO,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Distrito Federal,50,FOGÃO,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Espírito Santo,45,FOGÃO,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Goiás,47,FOGÃO,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Maranhão,37,FOGÃO,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Mato Grosso,45,FOGÃO,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Mato Grosso do Sul,50,FOGÃO,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Minas Gerais,47,FOGÃO,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Paraná,47,FOGÃO,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Paraíba,40,FOGÃO,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Pará,42,FOGÃO,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Pernambuco,40,FOGÃO,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Piauí,35,FOGÃO,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Rio Grande do Norte,40,FOGÃO,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Rio Grande do Sul,47,FOGÃO,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Rio de Janeiro,42,FOGÃO,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Rondônia,50,FOGÃO,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Roraima,42,FOGÃO,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Santa Catarina,42,FOGÃO,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Sergipe,40,FOGÃO,24/08/2018 13:20,GELADEIRA,4º Comparação,all
São Paulo,45,FOGÃO,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Tocantins,50,FOGÃO,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Acre,30,VENTILADOR,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Alagoas,30,VENTILADOR,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Amapá,40,VENTILADOR,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Amazonas,35,VENTILADOR,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Bahia,30,VENTILADOR,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Ceará,35,VENTILADOR,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Distrito Federal,20,VENTILADOR,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Espírito Santo,37,VENTILADOR,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Goiás,22,VENTILADOR,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Maranhão,32,VENTILADOR,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Mato Grosso,35,VENTILADOR,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Mato Grosso do Sul,32,VENTILADOR,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Minas Gerais,30,VENTILADOR,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Paraná,25,VENTILADOR,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Paraíba,30,VENTILADOR,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Pará,37,VENTILADOR,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Pernambuco,30,VENTILADOR,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Piauí,37,VENTILADOR,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Rio Grande do Norte,32,VENTILADOR,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Rio Grande do Sul,27,VENTILADOR,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Rio de Janeiro,40,VENTILADOR,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Rondônia,32,VENTILADOR,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Roraima,40,VENTILADOR,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Santa Catarina,20,VENTILADOR,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Sergipe,32,VENTILADOR,24/08/2018 13:20,GELADEIRA,4º Comparação,all
São Paulo,32,VENTILADOR,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Tocantins,30,VENTILADOR,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Acre,42,BRASTEMP,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Alagoas,50,BRASTEMP,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Amapá,35,BRASTEMP,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Amazonas,42,BRASTEMP,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Bahia,52,BRASTEMP,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Ceará,55,BRASTEMP,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Distrito Federal,65,BRASTEMP,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Espírito Santo,50,BRASTEMP,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Goiás,65,BRASTEMP,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Maranhão,52,BRASTEMP,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Mato Grosso,50,BRASTEMP,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Mato Grosso do Sul,45,BRASTEMP,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Minas Gerais,52,BRASTEMP,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Paraná,57,BRASTEMP,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Paraíba,57,BRASTEMP,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Pará,42,BRASTEMP,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Pernambuco,55,BRASTEMP,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Piauí,45,BRASTEMP,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Rio Grande do Norte,55,BRASTEMP,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Rio Grande do Sul,60,BRASTEMP,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Rio de Janeiro,52,BRASTEMP,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Rondônia,42,BRASTEMP,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Roraima,40,BRASTEMP,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Santa Catarina,60,BRASTEMP,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Sergipe,55,BRASTEMP,24/08/2018 13:20,GELADEIRA,4º Comparação,all
São Paulo,62,BRASTEMP,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Tocantins,52,BRASTEMP,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Acre,30,CONSUL,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Alagoas,40,CONSUL,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Amapá,32,CONSUL,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Amazonas,37,CONSUL,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Bahia,40,CONSUL,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Ceará,45,CONSUL,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Distrito Federal,27,CONSUL,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Espírito Santo,32,CONSUL,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Goiás,30,CONSUL,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Maranhão,42,CONSUL,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Mato Grosso,30,CONSUL,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Mato Grosso do Sul,35,CONSUL,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Minas Gerais,35,CONSUL,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Paraná,35,CONSUL,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Paraíba,40,CONSUL,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Pará,35,CONSUL,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Pernambuco,45,CONSUL,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Piauí,50,CONSUL,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Rio Grande do Norte,42,CONSUL,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Rio Grande do Sul,42,CONSUL,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Rio de Janeiro,37,CONSUL,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Rondônia,30,CONSUL,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Roraima,30,CONSUL,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Santa Catarina,50,CONSUL,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Sergipe,40,CONSUL,24/08/2018 13:20,GELADEIRA,4º Comparação,all
São Paulo,30,CONSUL,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Tocantins,35,CONSUL,24/08/2018 13:20,GELADEIRA,4º Comparação,all
Acre,29,GELADEIRA,24/08/2018 13:20,GELADEIRA,5º Comparação,all
Alagoas,40,GELADEIRA,24/08/2018 13:20,GELADEIRA,5º Comparação,all
Amapá,24,GELADEIRA,24/08/2018 13:20,GELADEIRA,5º Comparação,all
Amazonas,24,GELADEIRA,24/08/2018 13:20,GELADEIRA,5º Comparação,all
Bahia,43,GELADEIRA,24/08/2018 13:20,GELADEIRA,5º Comparação,all
Ceará,35,GELADEIRA,24/08/2018 13:20,GELADEIRA,5º Comparação,all
Distrito Federal,45,GELADEIRA,24/08/2018 13:20,GELADEIRA,5º Comparação,all
Espírito Santo,43,GELADEIRA,24/08/2018 13:20,GELADEIRA,5º Comparação,all
Goiás,35,GELADEIRA,24/08/2018 13:20,GELADEIRA,5º Comparação,all
