date,values,Termo Buscado,Data e Hora,Palavra Pivo,Num da Comp,Periodo
2018-07-23,93,GELADEIRA,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-07-24,96,GELADEIRA,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-07-25,90,GELADEIRA,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-07-26,89,GELADEIRA,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-07-27,79,GELADEIRA,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-07-28,96,GELADEIRA,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-07-29,100,GELADEIRA,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-07-30,86,GELADEIRA,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-07-31,87,GELADEIRA,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-01,81,GELADEIRA,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-02,91,GELADEIRA,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-03,85,GELADEIRA,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-04,94,GELADEIRA,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-05,98,GELADEIRA,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-06,89,GELADEIRA,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-07,84,GELADEIRA,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-08,84,GELADEIRA,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-09,82,GELADEIRA,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-10,80,GELADEIRA,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-11,94,GELADEIRA,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-12,89,GELADEIRA,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-13,90,GELADEIRA,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-14,94,GELADEIRA,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-15,84,GELADEIRA,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-16,77,GELADEIRA,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-17,77,GELADEIRA,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-18,87,GELADEIRA,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-19,85,GELADEIRA,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-20,90,GELADEIRA,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-21,89,GELADEIRA,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-07-23,57,FOGÃO,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-07-24,58,FOGÃO,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-07-25,54,FOGÃO,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-07-26,54,FOGÃO,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-07-27,55,FOGÃO,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-07-28,59,FOGÃO,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-07-29,72,FOGÃO,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-07-30,57,FOGÃO,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-07-31,56,FOGÃO,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-01,54,FOGÃO,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-02,54,FOGÃO,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-03,51,FOGÃO,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-04,61,FOGÃO,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-05,67,FOGÃO,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-06,59,FOGÃO,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-07,53,FOGÃO,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-08,52,FOGÃO,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-09,54,FOGÃO,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-10,52,FOGÃO,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-11,58,FOGÃO,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-12,58,FOGÃO,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-13,54,FOGÃO,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-14,55,FOGÃO,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-15,50,FOGÃO,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-16,56,FOGÃO,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-17,50,FOGÃO,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-18,59,FOGÃO,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-19,59,FOGÃO,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-20,55,FOGÃO,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-21,54,FOGÃO,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-07-23,17,VENTILADOR,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-07-24,16,VENTILADOR,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-07-25,16,VENTILADOR,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-07-26,15,VENTILADOR,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-07-27,18,VENTILADOR,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-07-28,16,VENTILADOR,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-07-29,18,VENTILADOR,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-07-30,17,VENTILADOR,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-07-31,15,VENTILADOR,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-01,16,VENTILADOR,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-02,15,VENTILADOR,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-03,17,VENTILADOR,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-04,16,VENTILADOR,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-05,16,VENTILADOR,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-06,15,VENTILADOR,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-07,16,VENTILADOR,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-08,17,VENTILADOR,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-09,18,VENTILADOR,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-10,15,VENTILADOR,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-11,15,VENTILADOR,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-12,14,VENTILADOR,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-13,18,VENTILADOR,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-14,18,VENTILADOR,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-15,16,VENTILADOR,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-16,13,VENTILADOR,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-17,14,VENTILADOR,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-18,17,VENTILADOR,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
2018-08-19,14,VENTILADOR,23/08/2018 11:40,GELADEIRA,1º Comparação,today 1-m
