Top,Assuntos Relacionadas,Values,Tipo,Termo Buscado,Data de Extração,Periodo
1,Refrigerador,100,Assunto,GELADEIRA,24/08/2018 13:21,all
2,Brastemp,9,Empresa,GELADEIRA,24/08/2018 13:21,all
3,Aço inoxidável,7,Assunto,GELADEIRA,24/08/2018 13:21,all
4,Electrolux,7,Assunto,GELADEIRA,24/08/2018 13:21,all
5,Litro,6,Unidade de medida,GELADEIRA,24/08/2018 13:21,all
6,Porta,4,Assunto,GELADEIRA,24/08/2018 13:21,all
7,Fogão,3,Assunto,GELADEIRA,24/08/2018 13:21,all
8,Íman,2,Assunto,GELADEIRA,24/08/2018 13:21,all
9,Pudim,2,Alimento,GELADEIRA,24/08/2018 13:21,all
10,Adesivo,2,Assunto,GELADEIRA,24/08/2018 13:21,all
11,Duplex,2,Assunto,GELADEIRA,24/08/2018 13:21,all
12,Panasonic,1,Assunto,GELADEIRA,24/08/2018 13:21,all
13,Gás,1,Assunto,GELADEIRA,24/08/2018 13:21,all
14,Cônsul,1,Assunto,GELADEIRA,24/08/2018 13:21,all
15,Borracha,1,Assunto,GELADEIRA,24/08/2018 13:21,all
16,Forno de micro-ondas,1,Assunto,GELADEIRA,24/08/2018 13:21,all
17,Odor,1,Assunto,GELADEIRA,24/08/2018 13:21,all
18,Máquina de lavar roupa,1,Assunto,GELADEIRA,24/08/2018 13:21,all
19,lavar,1,Assunto,GELADEIRA,24/08/2018 13:21,all
20,Conservação de alimentos,1,Assunto,GELADEIRA,24/08/2018 13:21,all
21,Gelo,1,Assunto,GELADEIRA,24/08/2018 13:21,all
1,Fogão,100,Assunto,FOGÃO,24/08/2018 13:21,all
2,Brastemp,10,Empresa,FOGÃO,24/08/2018 13:21,all
3,Fogão a lenha,10,Assunto,FOGÃO,24/08/2018 13:21,all
4,Forno,10,Assunto,FOGÃO,24/08/2018 13:21,all
5,Fogão,8,Assunto,FOGÃO,24/08/2018 13:21,all
6,Aço inoxidável,8,Assunto,FOGÃO,24/08/2018 13:21,all
7,Electrolux,7,Assunto,FOGÃO,24/08/2018 13:21,all
8,Refrigerador,5,Assunto,FOGÃO,24/08/2018 13:21,all
9,Casas Bahia,5,Empresa,FOGÃO,24/08/2018 13:21,all
10,Gás,5,Assunto,FOGÃO,24/08/2018 13:21,all
11,Cozinha,4,Assunto,FOGÃO,24/08/2018 13:21,all
12,Churrasco,4,Assunto,FOGÃO,24/08/2018 13:21,all
13,Mesa,4,Assunto,FOGÃO,24/08/2018 13:21,all
14,Vidro,3,Forma de arte visual,FOGÃO,24/08/2018 13:21,all
15,Consul,3,Assunto,FOGÃO,24/08/2018 13:21,all
16,Ricardo Eletro,2,Empresa,FOGÃO,24/08/2018 13:21,all
17,Dako,2,Empresa,FOGÃO,24/08/2018 13:21,all
18,Temporizador,2,Assunto,FOGÃO,24/08/2018 13:21,all
19,Panela,2,Assunto,FOGÃO,24/08/2018 13:21,all
20,Esmaltec,1,Assunto,FOGÃO,24/08/2018 13:21,all
21,Piso,1,Assunto,FOGÃO,24/08/2018 13:21,all
22,Pia,1,Assunto,FOGÃO,24/08/2018 13:21,all
23,fogão a gás,1,Assunto,FOGÃO,24/08/2018 13:21,all
24,Fogão De Lenha,1,Canção de Chitãozinho & Xororó,FOGÃO,24/08/2018 13:21,all
25,Forno de micro-ondas,1,Assunto,FOGÃO,24/08/2018 13:21,all
1,Ventilador,100,Assunto,VENTILADOR,24/08/2018 13:21,all
2,Teto,26,Assunto,VENTILADOR,24/08/2018 13:21,all
3,Ventilador de teto,25,Assunto,VENTILADOR,24/08/2018 13:21,all
4,Ar,6,Assunto,VENTILADOR,24/08/2018 13:21,all
5,Turbocompressor,4,Assunto,VENTILADOR,24/08/2018 13:21,all
6,Instalação,4,Arte,VENTILADOR,24/08/2018 13:21,all
7,Ar-condicionado,4,Assunto,VENTILADOR,24/08/2018 13:21,all
8,Mesa,3,Assunto,VENTILADOR,24/08/2018 13:21,all
9,Controlo remoto,3,Assunto,VENTILADOR,24/08/2018 13:21,all
10,Motor,3,Assunto,VENTILADOR,24/08/2018 13:21,all
11,Hélice,2,Meio de propulsão,VENTILADOR,24/08/2018 13:21,all
12,Centímetro,2,Unidade de comprimento,VENTILADOR,24/08/2018 13:21,all
13,Capacitor,2,Assunto,VENTILADOR,24/08/2018 13:21,all
14,Unidade de tratamento de ar,1,Assunto,VENTILADOR,24/08/2018 13:21,all
15,SPIRIT,1,Área industrial no Rio de Janeiro,VENTILADOR,24/08/2018 13:21,all
16,Umidificador,1,Assunto,VENTILADOR,24/08/2018 13:21,all
17,Universal Serial Bus,1,Assunto,VENTILADOR,24/08/2018 13:21,all
18,Britânia,1,Goiás,VENTILADOR,24/08/2018 13:21,all
19,Lâmpada incandescente,1,Assunto,VENTILADOR,24/08/2018 13:21,all
20,Manual de instruções,1,Assunto,VENTILADOR,24/08/2018 13:21,all
21,Leroy Merlin,1,Assunto,VENTILADOR,24/08/2018 13:21,all
22,Potência,1,Assunto,VENTILADOR,24/08/2018 13:21,all
23,Vento,1,Assunto,VENTILADOR,24/08/2018 13:21,all
24,Casa & Video,1,Empresa,VENTILADOR,24/08/2018 13:21,all
25,Coluna,1,Assunto,VENTILADOR,24/08/2018 13:21,all
1,Brastemp,100,Empresa,BRASTEMP,24/08/2018 13:21,all
2,Refrigerador,23,Assunto,BRASTEMP,24/08/2018 13:21,all
3,Máquina de lavar roupa,18,Assunto,BRASTEMP,24/08/2018 13:21,all
4,lavar,13,Assunto,BRASTEMP,24/08/2018 13:21,all
5,Máquina,13,Assunto,BRASTEMP,24/08/2018 13:21,all
6,Fogão,12,Assunto,BRASTEMP,24/08/2018 13:21,all
7,Aço inoxidável,7,Assunto,BRASTEMP,24/08/2018 13:21,all
8,Roupa,7,Assunto,BRASTEMP,24/08/2018 13:21,all
9,Forno de micro-ondas,6,Assunto,BRASTEMP,24/08/2018 13:21,all
10,Litro,6,Unidade de medida,BRASTEMP,24/08/2018 13:21,all
11,Forno,5,Assunto,BRASTEMP,24/08/2018 13:21,all
12,Electrolux,5,Assunto,BRASTEMP,24/08/2018 13:21,all
13,Fogão,4,Assunto,BRASTEMP,24/08/2018 13:21,all
14,Máquina de lavar louça,4,Assunto,BRASTEMP,24/08/2018 13:21,all
15,Pontofrio,3,Empresa,BRASTEMP,24/08/2018 13:21,all
16,Magazine Luiza,2,Companhia,BRASTEMP,24/08/2018 13:21,all
17,Secadora de roupas,2,Assunto,BRASTEMP,24/08/2018 13:21,all
18,Técnica,2,Assunto,BRASTEMP,24/08/2018 13:21,all
19,Gás,2,Assunto,BRASTEMP,24/08/2018 13:21,all
20,Cônsul,2,Assunto,BRASTEMP,24/08/2018 13:21,all
21,Ricardo Eletro,2,Empresa,BRASTEMP,24/08/2018 13:21,all
22,Buscapé,2,Assunto,BRASTEMP,24/08/2018 13:21,all
23,Quilograma,2,Unidade básica,BRASTEMP,24/08/2018 13:21,all
24,Forno Elétrico,2,Assunto,BRASTEMP,24/08/2018 13:21,all
25,Consul,1,Assunto,BRASTEMP,24/08/2018 13:21,all
1,Cônsul,100,Assunto,CONSUL,24/08/2018 13:21,all
2,Consul,53,Assunto,CONSUL,24/08/2018 13:21,all
3,Refrigerador,45,Assunto,CONSUL,24/08/2018 13:21,all
4,Ar,25,Assunto,CONSUL,24/08/2018 13:21,all
5,Máquina de lavar roupa,21,Assunto,CONSUL,24/08/2018 13:21,all
6,Ar-condicionado,20,Assunto,CONSUL,24/08/2018 13:21,all
7,Litro,16,Unidade de medida,CONSUL,24/08/2018 13:21,all
8,Fogão,15,Assunto,CONSUL,24/08/2018 13:21,all
9,Máquina,14,Assunto,CONSUL,24/08/2018 13:21,all
10,lavar,12,Assunto,CONSUL,24/08/2018 13:21,all
11,Brastemp,12,Empresa,CONSUL,24/08/2018 13:21,all
12,Unidade de tratamento de ar,9,Assunto,CONSUL,24/08/2018 13:21,all
13,Forno de micro-ondas,8,Assunto,CONSUL,24/08/2018 13:21,all
14,BTU,8,Unidade de medida,CONSUL,24/08/2018 13:21,all
15,Aço inoxidável,7,Assunto,CONSUL,24/08/2018 13:21,all
16,Electrolux,7,Assunto,CONSUL,24/08/2018 13:21,all
17,Frio,5,Assunto,CONSUL,24/08/2018 13:21,all
18,Forno,4,Assunto,CONSUL,24/08/2018 13:21,all
19,Pontofrio,4,Empresa,CONSUL,24/08/2018 13:21,all
20,Fábrica de cerveja,4,Assunto,CONSUL,24/08/2018 13:21,all
21,Ricardo Eletro,4,Empresa,CONSUL,24/08/2018 13:21,all
22,Fogão,4,Assunto,CONSUL,24/08/2018 13:21,all
23,Técnica,4,Assunto,CONSUL,24/08/2018 13:21,all
24,Manual de instruções,3,Assunto,CONSUL,24/08/2018 13:21,all
25,Buscapé,3,Assunto,CONSUL,24/08/2018 13:21,all
1,Computador,100,Assunto,COMPUTADOR,24/08/2018 13:21,all
2,Microsoft Windows,6,Sistema operacional,COMPUTADOR,24/08/2018 13:21,all
3,Mesa,3,Assunto,COMPUTADOR,24/08/2018 13:21,all
4,Laptop,3,Assunto,COMPUTADOR,24/08/2018 13:21,all
5,Instalação,2,Computação,COMPUTADOR,24/08/2018 13:21,all
6,Windows 7,2,Sistema operacional,COMPUTADOR,24/08/2018 13:21,all
7,Teclado,2,Periférico do computador,COMPUTADOR,24/08/2018 13:21,all
8,Rede de computadores,2,Assunto,COMPUTADOR,24/08/2018 13:21,all
9,Computador pessoal,2,Assunto,COMPUTADOR,24/08/2018 13:21,all
10,Unidade central de processamento,2,Assunto,COMPUTADOR,24/08/2018 13:21,all
11,Formatação de disco,2,Assunto,COMPUTADOR,24/08/2018 13:21,all
12,Memória,2,Assunto,COMPUTADOR,24/08/2018 13:21,all
13,Arquivo,2,Tipo de organização,COMPUTADOR,24/08/2018 13:21,all
