geoName,values,Termo Buscado,Data e Hora,Palavra Pivo,Num da Comp,Periodo
Acre,81,GELADEIRA,16/08/2018 18:18,GELADEIRA,2º,today 1-m
Alagoas,86,GELADEIRA,16/08/2018 18:18,GELADEIRA,2º,today 1-m
Amapá,76,GELADEIRA,16/08/2018 18:18,GELADEIRA,2º,today 1-m
Amazonas,93,GELADEIRA,16/08/2018 18:18,GELADEIRA,2º,today 1-m
Bahia,85,GELADEIRA,16/08/2018 18:18,GELADEIRA,2º,today 1-m
Ceará,89,GELADEIRA,16/08/2018 18:18,GELADEIRA,2º,today 1-m
Distrito Federal,80,GELADEIRA,16/08/2018 18:18,GELADEIRA,2º,today 1-m
Espírito Santo,81,GELADEIRA,16/08/2018 18:18,GELADEIRA,2º,today 1-m
Goiás,82,GELADEIRA,16/08/2018 18:18,GELADEIRA,2º,today 1-m
Maranhão,88,GELADEIRA,16/08/2018 18:18,GELADEIRA,2º,today 1-m
Mato Grosso,85,GELADEIRA,16/08/2018 18:18,GELADEIRA,2º,today 1-m
Mato Grosso do Sul,77,GELADEIRA,16/08/2018 18:18,GELADEIRA,2º,today 1-m
Minas Gerais,77,GELADEIRA,16/08/2018 18:18,GELADEIRA,2º,today 1-m
Paraná,78,GELADEIRA,16/08/2018 18:18,GELADEIRA,2º,today 1-m
Paraíba,81,GELADEIRA,16/08/2018 18:18,GELADEIRA,2º,today 1-m
Pará,94,GELADEIRA,16/08/2018 18:18,GELADEIRA,2º,today 1-m
Pernambuco,82,GELADEIRA,16/08/2018 18:18,GELADEIRA,2º,today 1-m
Piauí,100,GELADEIRA,16/08/2018 18:18,GELADEIRA,2º,today 1-m
Rio Grande do Norte,86,GELADEIRA,16/08/2018 18:18,GELADEIRA,2º,today 1-m
Rio Grande do Sul,69,GELADEIRA,16/08/2018 18:18,GELADEIRA,2º,today 1-m
Rio de Janeiro,78,GELADEIRA,16/08/2018 18:18,GELADEIRA,2º,today 1-m
Rondônia,86,GELADEIRA,16/08/2018 18:18,GELADEIRA,2º,today 1-m
Roraima,97,GELADEIRA,16/08/2018 18:18,GELADEIRA,2º,today 1-m
Santa Catarina,80,GELADEIRA,16/08/2018 18:18,GELADEIRA,2º,today 1-m
Sergipe,89,GELADEIRA,16/08/2018 18:18,GELADEIRA,2º,today 1-m
São Paulo,78,GELADEIRA,16/08/2018 18:18,GELADEIRA,2º,today 1-m
Tocantins,93,GELADEIRA,16/08/2018 18:18,GELADEIRA,2º,today 1-m
Acre,50,FOGÃO,16/08/2018 18:18,GELADEIRA,2º,today 1-m
Alagoas,44,FOGÃO,16/08/2018 18:18,GELADEIRA,2º,today 1-m
Amapá,55,FOGÃO,16/08/2018 18:18,GELADEIRA,2º,today 1-m
Amazonas,38,FOGÃO,16/08/2018 18:18,GELADEIRA,2º,today 1-m
Bahia,46,FOGÃO,16/08/2018 18:18,GELADEIRA,2º,today 1-m
Ceará,42,FOGÃO,16/08/2018 18:18,GELADEIRA,2º,today 1-m
Distrito Federal,51,FOGÃO,16/08/2018 18:18,GELADEIRA,2º,today 1-m
Espírito Santo,50,FOGÃO,16/08/2018 18:18,GELADEIRA,2º,today 1-m
Goiás,48,FOGÃO,16/08/2018 18:18,GELADEIRA,2º,today 1-m
Maranhão,43,FOGÃO,16/08/2018 18:18,GELADEIRA,2º,today 1-m
Mato Grosso,46,FOGÃO,16/08/2018 18:18,GELADEIRA,2º,today 1-m
Mato Grosso do Sul,53,FOGÃO,16/08/2018 18:18,GELADEIRA,2º,today 1-m
Minas Gerais,53,FOGÃO,16/08/2018 18:18,GELADEIRA,2º,today 1-m
Paraná,52,FOGÃO,16/08/2018 18:18,GELADEIRA,2º,today 1-m
Paraíba,50,FOGÃO,16/08/2018 18:18,GELADEIRA,2º,today 1-m
Pará,36,FOGÃO,16/08/2018 18:18,GELADEIRA,2º,today 1-m
Pernambuco,48,FOGÃO,16/08/2018 18:18,GELADEIRA,2º,today 1-m
Piauí,31,FOGÃO,16/08/2018 18:18,GELADEIRA,2º,today 1-m
Rio Grande do Norte,44,FOGÃO,16/08/2018 18:18,GELADEIRA,2º,today 1-m
Rio Grande do Sul,61,FOGÃO,16/08/2018 18:18,GELADEIRA,2º,today 1-m
Rio de Janeiro,52,FOGÃO,16/08/2018 18:18,GELADEIRA,2º,today 1-m
Rondônia,44,FOGÃO,16/08/2018 18:18,GELADEIRA,2º,today 1-m
Roraima,34,FOGÃO,16/08/2018 18:18,GELADEIRA,2º,today 1-m
Santa Catarina,51,FOGÃO,16/08/2018 18:18,GELADEIRA,2º,today 1-m
Sergipe,42,FOGÃO,16/08/2018 18:18,GELADEIRA,2º,today 1-m
São Paulo,52,FOGÃO,16/08/2018 18:18,GELADEIRA,2º,today 1-m
Tocantins,38,FOGÃO,16/08/2018 18:18,GELADEIRA,2º,today 1-m
