Top,Assuntos Relacionadas,Values,Tipo,Termo Buscado,Data de Extração,Periodo
0,Refrigerador,100,Assunto,GELADEIRA,22/08/2018 12:29,all
1,Brastemp,10,Empresa,GELADEIRA,22/08/2018 12:29,all
2,Aço inoxidável,8,Assunto,GELADEIRA,22/08/2018 12:29,all
3,Electrolux,7,Assunto,GELADEIRA,22/08/2018 12:29,all
4,Litro,6,Unidade de medida,GELADEIRA,22/08/2018 12:29,all
5,Porta,5,Assunto,GELADEIRA,22/08/2018 12:29,all
6,Fogão,3,Assunto,GELADEIRA,22/08/2018 12:29,all
7,Pudim,3,Alimento,GELADEIRA,22/08/2018 12:29,all
8,Íman,3,Assunto,GELADEIRA,22/08/2018 12:29,all
9,Adesivo,2,Assunto,GELADEIRA,22/08/2018 12:29,all
10,Duplex,2,Assunto,GELADEIRA,22/08/2018 12:29,all
11,Panasonic,1,Assunto,GELADEIRA,22/08/2018 12:29,all
12,Ricardo Eletro,1,Empresa,GELADEIRA,22/08/2018 12:29,all
13,Gás,1,Assunto,GELADEIRA,22/08/2018 12:29,all
14,Cônsul,1,Assunto,GELADEIRA,22/08/2018 12:29,all
15,Borracha,1,Assunto,GELADEIRA,22/08/2018 12:29,all
16,Forno de micro-ondas,1,Assunto,GELADEIRA,22/08/2018 12:29,all
17,Máquina de lavar roupa,1,Assunto,GELADEIRA,22/08/2018 12:29,all
18,lavar,1,Assunto,GELADEIRA,22/08/2018 12:29,all
19,Robert Bosch GmbH,1,Empresa,GELADEIRA,22/08/2018 12:29,all
20,Conservação de alimentos,1,Assunto,GELADEIRA,22/08/2018 12:29,all
21,Armário,1,Assunto,GELADEIRA,22/08/2018 12:29,all
22,General Electric,1,Empresa,GELADEIRA,22/08/2018 12:29,all
23,Consul,1,Assunto,GELADEIRA,22/08/2018 12:29,all
24,Envelopamento de Geladeira SP,1,Designer gráfico em São Paulo,GELADEIRA,22/08/2018 12:29,all
0,Fogão,100,Assunto,FOGÃO,22/08/2018 12:29,all
1,Forno,10,Assunto,FOGÃO,22/08/2018 12:29,all
2,Fogão a lenha,10,Assunto,FOGÃO,22/08/2018 12:29,all
3,Brastemp,10,Empresa,FOGÃO,22/08/2018 12:29,all
4,Aço inoxidável,8,Assunto,FOGÃO,22/08/2018 12:29,all
5,Fogão,8,Assunto,FOGÃO,22/08/2018 12:29,all
6,Electrolux,7,Assunto,FOGÃO,22/08/2018 12:29,all
7,Refrigerador,5,Assunto,FOGÃO,22/08/2018 12:29,all
8,Casas Bahia,5,Empresa,FOGÃO,22/08/2018 12:29,all
9,Gás,5,Assunto,FOGÃO,22/08/2018 12:29,all
10,Cozinha,4,Assunto,FOGÃO,22/08/2018 12:29,all
