Top,Values,Consultas Relacionadas,Termo Buscado,Tipo,Data de Extração,Periodo
0,100,brastemp,GELADEIRA,Principais,22/08/2018 12:35,all
1,99,geladeira brastemp,GELADEIRA,Principais,22/08/2018 12:35,all
2,74,geladeira frost free,GELADEIRA,Principais,22/08/2018 12:35,all
3,65,electrolux geladeira,GELADEIRA,Principais,22/08/2018 12:35,all
4,64,electrolux,GELADEIRA,Principais,22/08/2018 12:35,all
5,62,geladeira inox,GELADEIRA,Principais,22/08/2018 12:35,all
6,59,consul,GELADEIRA,Principais,22/08/2018 12:35,all
7,59,geladeira consul,GELADEIRA,Principais,22/08/2018 12:35,all
8,36,geladeira eletrolux,GELADEIRA,Principais,22/08/2018 12:35,all
9,36,eletrolux,GELADEIRA,Principais,22/08/2018 12:35,all
10,28,preço geladeira,GELADEIRA,Principais,22/08/2018 12:35,all
11,27,refrigerador,GELADEIRA,Principais,22/08/2018 12:35,all
12,25,casas bahia geladeira,GELADEIRA,Principais,22/08/2018 12:35,all
13,24,geladeira inverse,GELADEIRA,Principais,22/08/2018 12:35,all
14,23,geladeira duplex,GELADEIRA,Principais,22/08/2018 12:35,all
15,20,olx geladeira,GELADEIRA,Principais,22/08/2018 12:35,all
16,19,pudim de geladeira,GELADEIRA,Principais,22/08/2018 12:35,all
17,19,geladeira frost free brastemp,GELADEIRA,Principais,22/08/2018 12:35,all
18,18,fogão,GELADEIRA,Principais,22/08/2018 12:35,all
19,17,geladeira de inox,GELADEIRA,Principais,22/08/2018 12:35,all
20,17,geladeira inox brastemp,GELADEIRA,Principais,22/08/2018 12:35,all
21,16,geladeiras,GELADEIRA,Principais,22/08/2018 12:35,all
22,16,geladeira usada,GELADEIRA,Principais,22/08/2018 12:35,all
23,15,preço de geladeira,GELADEIRA,Principais,22/08/2018 12:35,all
24,15,continental,GELADEIRA,Principais,22/08/2018 12:35,all
0,720550,geladeira inox,GELADEIRA,Em Ascensão,22/08/2018 12:35,all
1,689550,consul,GELADEIRA,Em Ascensão,22/08/2018 12:35,all
2,684950,geladeira consul,GELADEIRA,Em Ascensão,22/08/2018 12:35,all
3,278500,geladeira inverse,GELADEIRA,Em Ascensão,22/08/2018 12:35,all
4,235500,olx geladeira,GELADEIRA,Em Ascensão,22/08/2018 12:35,all
5,226900,pudim de geladeira,GELADEIRA,Em Ascensão,22/08/2018 12:35,all
6,196700,geladeira de inox,GELADEIRA,Em Ascensão,22/08/2018 12:35,all
7,196600,geladeira inox brastemp,GELADEIRA,Em Ascensão,22/08/2018 12:35,all
8,183900,geladeira usada,GELADEIRA,Em Ascensão,22/08/2018 12:35,all
9,174600,continental,GELADEIRA,Em Ascensão,22/08/2018 12:35,all
10,172200,geladeira frost free consul,GELADEIRA,Em Ascensão,22/08/2018 12:35,all
11,170300,geladeira inverse brastemp,GELADEIRA,Em Ascensão,22/08/2018 12:35,all
12,167350,promoção geladeira,GELADEIRA,Em Ascensão,22/08/2018 12:35,all
13,160950,geladeira continental,GELADEIRA,Em Ascensão,22/08/2018 12:35,all
14,160450,geladeira electrolux frost free,GELADEIRA,Em Ascensão,22/08/2018 12:35,all
15,160400,geladeira magazine luiza,GELADEIRA,Em Ascensão,22/08/2018 12:35,all
16,159900,magazine luiza geladeira,GELADEIRA,Em Ascensão,22/08/2018 12:35,all
17,154050,comprar geladeira,GELADEIRA,Em Ascensão,22/08/2018 12:35,all
18,142000,conserto geladeira,GELADEIRA,Em Ascensão,22/08/2018 12:35,all
19,141100,geladeira ponto frio,GELADEIRA,Em Ascensão,22/08/2018 12:35,all
