date,values,Termo Buscado,Data e Hora,Palavra Pivo,Num da Comp,Periodo
2018-07-16,91,GELADEIRA,16/08/2018 18:15,GELADEIRA,1º,today 1-m
2018-07-17,91,GELADEIRA,16/08/2018 18:15,GELADEIRA,1º,today 1-m
2018-07-18,89,GELADEIRA,16/08/2018 18:15,GELADEIRA,1º,today 1-m
2018-07-19,90,GELADEIRA,16/08/2018 18:15,GELADEIRA,1º,today 1-m
2018-07-20,83,GELADEIRA,16/08/2018 18:15,GELADEIRA,1º,today 1-m
2018-07-21,100,GELADEIRA,16/08/2018 18:15,GELADEIRA,1º,today 1-m
2018-07-22,97,GELADEIRA,16/08/2018 18:15,GELADEIRA,1º,today 1-m
2018-07-23,88,GELADEIRA,16/08/2018 18:15,GELADEIRA,1º,today 1-m
2018-07-24,91,GELADEIRA,16/08/2018 18:15,GELADEIRA,1º,today 1-m
2018-07-25,92,GELADEIRA,16/08/2018 18:15,GELADEIRA,1º,today 1-m
2018-07-26,83,GELADEIRA,16/08/2018 18:15,GELADEIRA,1º,today 1-m
2018-07-27,75,GELADEIRA,16/08/2018 18:15,GELADEIRA,1º,today 1-m
2018-07-28,97,GELADEIRA,16/08/2018 18:15,GELADEIRA,1º,today 1-m
2018-07-29,95,GELADEIRA,16/08/2018 18:15,GELADEIRA,1º,today 1-m
2018-07-30,89,GELADEIRA,16/08/2018 18:15,GELADEIRA,1º,today 1-m
2018-07-31,88,GELADEIRA,16/08/2018 18:15,GELADEIRA,1º,today 1-m
2018-08-01,83,GELADEIRA,16/08/2018 18:15,GELADEIRA,1º,today 1-m
2018-08-02,87,GELADEIRA,16/08/2018 18:15,GELADEIRA,1º,today 1-m
2018-08-03,87,GELADEIRA,16/08/2018 18:15,GELADEIRA,1º,today 1-m
2018-08-04,98,GELADEIRA,16/08/2018 18:15,GELADEIRA,1º,today 1-m
2018-08-05,94,GELADEIRA,16/08/2018 18:15,GELADEIRA,1º,today 1-m
2018-08-06,89,GELADEIRA,16/08/2018 18:15,GELADEIRA,1º,today 1-m
2018-08-07,86,GELADEIRA,16/08/2018 18:15,GELADEIRA,1º,today 1-m
2018-08-08,81,GELADEIRA,16/08/2018 18:15,GELADEIRA,1º,today 1-m
2018-08-09,80,GELADEIRA,16/08/2018 18:15,GELADEIRA,1º,today 1-m
2018-08-10,79,GELADEIRA,16/08/2018 18:15,GELADEIRA,1º,today 1-m
2018-08-11,100,GELADEIRA,16/08/2018 18:15,GELADEIRA,1º,today 1-m
2018-08-12,87,GELADEIRA,16/08/2018 18:15,GELADEIRA,1º,today 1-m
2018-08-13,85,GELADEIRA,16/08/2018 18:15,GELADEIRA,1º,today 1-m
2018-08-14,92,GELADEIRA,16/08/2018 18:15,GELADEIRA,1º,today 1-m
2018-07-16,59,FOGÃO,16/08/2018 18:15,GELADEIRA,1º,today 1-m
2018-07-17,57,FOGÃO,16/08/2018 18:15,GELADEIRA,1º,today 1-m
2018-07-18,55,FOGÃO,16/08/2018 18:15,GELADEIRA,1º,today 1-m
2018-07-19,55,FOGÃO,16/08/2018 18:15,GELADEIRA,1º,today 1-m
2018-07-20,47,FOGÃO,16/08/2018 18:15,GELADEIRA,1º,today 1-m
2018-07-21,63,FOGÃO,16/08/2018 18:15,GELADEIRA,1º,today 1-m
2018-07-22,67,FOGÃO,16/08/2018 18:15,GELADEIRA,1º,today 1-m
2018-07-23,59,FOGÃO,16/08/2018 18:15,GELADEIRA,1º,today 1-m
2018-07-24,60,FOGÃO,16/08/2018 18:15,GELADEIRA,1º,today 1-m
2018-07-25,55,FOGÃO,16/08/2018 18:15,GELADEIRA,1º,today 1-m
2018-07-26,55,FOGÃO,16/08/2018 18:15,GELADEIRA,1º,today 1-m
2018-07-27,55,FOGÃO,16/08/2018 18:15,GELADEIRA,1º,today 1-m
2018-07-28,60,FOGÃO,16/08/2018 18:15,GELADEIRA,1º,today 1-m
2018-07-29,68,FOGÃO,16/08/2018 18:15,GELADEIRA,1º,today 1-m
2018-07-30,57,FOGÃO,16/08/2018 18:15,GELADEIRA,1º,today 1-m
2018-07-31,55,FOGÃO,16/08/2018 18:15,GELADEIRA,1º,today 1-m
2018-08-01,53,FOGÃO,16/08/2018 18:15,GELADEIRA,1º,today 1-m
2018-08-02,55,FOGÃO,16/08/2018 18:15,GELADEIRA,1º,today 1-m
2018-08-03,52,FOGÃO,16/08/2018 18:15,GELADEIRA,1º,today 1-m
2018-08-04,60,FOGÃO,16/08/2018 18:15,GELADEIRA,1º,today 1-m
2018-08-05,62,FOGÃO,16/08/2018 18:15,GELADEIRA,1º,today 1-m
2018-08-06,59,FOGÃO,16/08/2018 18:15,GELADEIRA,1º,today 1-m
2018-08-07,54,FOGÃO,16/08/2018 18:15,GELADEIRA,1º,today 1-m
2018-08-08,50,FOGÃO,16/08/2018 18:15,GELADEIRA,1º,today 1-m
2018-08-09,53,FOGÃO,16/08/2018 18:15,GELADEIRA,1º,today 1-m
2018-08-10,52,FOGÃO,16/08/2018 18:15,GELADEIRA,1º,today 1-m
2018-08-11,57,FOGÃO,16/08/2018 18:15,GELADEIRA,1º,today 1-m
2018-08-12,60,FOGÃO,16/08/2018 18:15,GELADEIRA,1º,today 1-m
2018-08-13,55,FOGÃO,16/08/2018 18:15,GELADEIRA,1º,today 1-m
2018-08-14,52,FOGÃO,16/08/2018 18:15,GELADEIRA,1º,today 1-m
2018-07-17,92,GELADEIRA,17/08/2018 15:31,GELADEIRA,1º,today 1-m
2018-07-18,92,GELADEIRA,17/08/2018 15:31,GELADEIRA,1º,today 1-m
2018-07-19,92,GELADEIRA,17/08/2018 15:31,GELADEIRA,1º,today 1-m
2018-07-20,83,GELADEIRA,17/08/2018 15:31,GELADEIRA,1º,today 1-m
2018-07-21,98,GELADEIRA,17/08/2018 15:31,GELADEIRA,1º,today 1-m
2018-07-22,95,GELADEIRA,17/08/2018 15:31,GELADEIRA,1º,today 1-m
2018-07-23,88,GELADEIRA,17/08/2018 15:31,GELADEIRA,1º,today 1-m
2018-07-24,95,GELADEIRA,17/08/2018 15:31,GELADEIRA,1º,today 1-m
2018-07-25,91,GELADEIRA,17/08/2018 15:31,GELADEIRA,1º,today 1-m
2018-07-26,85,GELADEIRA,17/08/2018 15:31,GELADEIRA,1º,today 1-m
2018-07-27,82,GELADEIRA,17/08/2018 15:31,GELADEIRA,1º,today 1-m
2018-07-28,100,GELADEIRA,17/08/2018 15:31,GELADEIRA,1º,today 1-m
2018-07-29,100,GELADEIRA,17/08/2018 15:31,GELADEIRA,1º,today 1-m
2018-07-30,93,GELADEIRA,17/08/2018 15:31,GELADEIRA,1º,today 1-m
2018-07-31,88,GELADEIRA,17/08/2018 15:31,GELADEIRA,1º,today 1-m
2018-08-01,87,GELADEIRA,17/08/2018 15:31,GELADEIRA,1º,today 1-m
2018-08-02,89,GELADEIRA,17/08/2018 15:31,GELADEIRA,1º,today 1-m
2018-08-03,85,GELADEIRA,17/08/2018 15:31,GELADEIRA,1º,today 1-m
2018-08-04,98,GELADEIRA,17/08/2018 15:31,GELADEIRA,1º,today 1-m
2018-08-05,100,GELADEIRA,17/08/2018 15:31,GELADEIRA,1º,today 1-m
2018-08-06,88,GELADEIRA,17/08/2018 15:31,GELADEIRA,1º,today 1-m
2018-08-07,87,GELADEIRA,17/08/2018 15:31,GELADEIRA,1º,today 1-m
2018-08-08,88,GELADEIRA,17/08/2018 15:31,GELADEIRA,1º,today 1-m
