Top,Values,Consultas Relacionadas,Termo Buscado,Tipo,Data de Extração,Periodo
0,100,brastemp,GELADEIRA,Principais,17/08/2018 15:38,today 1-m
1,97,brastemp geladeira,GELADEIRA,Principais,17/08/2018 15:38,today 1-m
2,80,geladeira frost free,GELADEIRA,Principais,17/08/2018 15:38,today 1-m
3,68,geladeira inox,GELADEIRA,Principais,17/08/2018 15:38,today 1-m
4,66,geladeira electrolux,GELADEIRA,Principais,17/08/2018 15:38,today 1-m
5,66,electrolux,GELADEIRA,Principais,17/08/2018 15:38,today 1-m
6,62,consul geladeira,GELADEIRA,Principais,17/08/2018 15:38,today 1-m
7,61,consul,GELADEIRA,Principais,17/08/2018 15:38,today 1-m
8,25,olx geladeira,GELADEIRA,Principais,17/08/2018 15:38,today 1-m
9,25,geladeira casas bahia,GELADEIRA,Principais,17/08/2018 15:38,today 1-m
10,24,preço geladeira,GELADEIRA,Principais,17/08/2018 15:38,today 1-m
11,23,fogão,GELADEIRA,Principais,17/08/2018 15:38,today 1-m
12,22,geladeira inverse,GELADEIRA,Principais,17/08/2018 15:38,today 1-m
13,21,geladeira duplex,GELADEIRA,Principais,17/08/2018 15:38,today 1-m
14,20,eletrolux,GELADEIRA,Principais,17/08/2018 15:38,today 1-m
15,20,geladeira eletrolux,GELADEIRA,Principais,17/08/2018 15:38,today 1-m
16,18,geladeira de inox,GELADEIRA,Principais,17/08/2018 15:38,today 1-m
17,18,geladeira inox brastemp,GELADEIRA,Principais,17/08/2018 15:38,today 1-m
18,16,refrigerador,GELADEIRA,Principais,17/08/2018 15:38,today 1-m
19,16,geladeira brastemp frost free,GELADEIRA,Principais,17/08/2018 15:38,today 1-m
20,16,geladeira usada,GELADEIRA,Principais,17/08/2018 15:38,today 1-m
21,16,geladeira inverse brastemp,GELADEIRA,Principais,17/08/2018 15:38,today 1-m
22,16,pudim de geladeira,GELADEIRA,Principais,17/08/2018 15:38,today 1-m
23,16,consul frost free,GELADEIRA,Principais,17/08/2018 15:38,today 1-m
24,16,geladeira consul frost free,GELADEIRA,Principais,17/08/2018 15:38,today 1-m
0,10200,raffa moreira geladeira,GELADEIRA,Em Ascensão,17/08/2018 15:38,today 1-m
1,10000,como tirar cheiro ruim da geladeira,GELADEIRA,Em Ascensão,17/08/2018 15:38,today 1-m
2,7700,mini geladeira multilaser,GELADEIRA,Em Ascensão,17/08/2018 15:38,today 1-m
3,7450,vc esta dormindo tem manteiga queijo e presunto na geladeira o que vc abre primeiro,GELADEIRA,Em Ascensão,17/08/2018 15:38,today 1-m
4,5050,a geladeira é das antigas nem chega perto da inox,GELADEIRA,Em Ascensão,17/08/2018 15:38,today 1-m
5,5000,geladeira smeg,GELADEIRA,Em Ascensão,17/08/2018 15:38,today 1-m
6,2550,você está dormindo tem manteiga queijo e presunto na geladeira o que você abre primeiro,GELADEIRA,Em Ascensão,17/08/2018 15:38,today 1-m
7,2450,geladeira com freezer embaixo,GELADEIRA,Em Ascensão,17/08/2018 15:38,today 1-m
8,2450,foto em cima da geladeira,GELADEIRA,Em Ascensão,17/08/2018 15:38,today 1-m
9,700,geladeira pequena barata,GELADEIRA,Em Ascensão,17/08/2018 15:38,today 1-m
10,400,gas para geladeira,GELADEIRA,Em Ascensão,17/08/2018 15:38,today 1-m
11,350,pinguim de geladeira,GELADEIRA,Em Ascensão,17/08/2018 15:38,today 1-m
12,350,geladeira vintage,GELADEIRA,Em Ascensão,17/08/2018 15:38,today 1-m
13,250,geladeira electrolux duas portas,GELADEIRA,Em Ascensão,17/08/2018 15:38,today 1-m
14,190,geladeira ge frost free,GELADEIRA,Em Ascensão,17/08/2018 15:38,today 1-m
15,180,geladeira 240 litros,GELADEIRA,Em Ascensão,17/08/2018 15:38,today 1-m
16,170,como tirar cheiro de geladeira,GELADEIRA,Em Ascensão,17/08/2018 15:38,today 1-m
17,150,geladeira 380 litros inox,GELADEIRA,Em Ascensão,17/08/2018 15:38,today 1-m
18,120,envelopamento,GELADEIRA,Em Ascensão,17/08/2018 15:38,today 1-m
19,120,o que tem na geladeira,GELADEIRA,Em Ascensão,17/08/2018 15:38,today 1-m
20,110,geladeira adesivada,GELADEIRA,Em Ascensão,17/08/2018 15:38,today 1-m
