Top,Assuntos Relacionadas,Values,Tipo,Termo Buscado,Data de Extração,Periodo
0,Refrigerador,100,Assunto,GELADEIRA,23/08/2018 11:40,today 1-m
1,Brastemp,13,Empresa,GELADEIRA,23/08/2018 11:40,today 1-m
2,Aço inoxidável,9,Assunto,GELADEIRA,23/08/2018 11:40,today 1-m
3,Litro,9,Unidade de medida,GELADEIRA,23/08/2018 11:40,today 1-m
4,Electrolux,8,Assunto,GELADEIRA,23/08/2018 11:40,today 1-m
5,Porta,6,Assunto,GELADEIRA,23/08/2018 11:40,today 1-m
6,Casas Bahia,3,Empresa,GELADEIRA,23/08/2018 11:40,today 1-m
7,Fogão,3,Assunto,GELADEIRA,23/08/2018 11:40,today 1-m
8,Pudim,3,Alimento,GELADEIRA,23/08/2018 11:40,today 1-m
9,Duplex,2,Assunto,GELADEIRA,23/08/2018 11:40,today 1-m
10,Forno de micro-ondas,2,Assunto,GELADEIRA,23/08/2018 11:40,today 1-m
11,Panasonic,2,Assunto,GELADEIRA,23/08/2018 11:40,today 1-m
12,Íman,2,Assunto,GELADEIRA,23/08/2018 11:40,today 1-m
13,Cônsul,1,Assunto,GELADEIRA,23/08/2018 11:40,today 1-m
14,lavar,1,Assunto,GELADEIRA,23/08/2018 11:40,today 1-m
15,Máquina de lavar roupa,1,Assunto,GELADEIRA,23/08/2018 11:40,today 1-m
16,Armário,1,Assunto,GELADEIRA,23/08/2018 11:40,today 1-m
17,Pontofrio,1,Empresa,GELADEIRA,23/08/2018 11:40,today 1-m
18,Borracha,1,Assunto,GELADEIRA,23/08/2018 11:40,today 1-m
19,Conservação de alimentos,1,Assunto,GELADEIRA,23/08/2018 11:40,today 1-m
20,Esmaltec,1,Assunto,GELADEIRA,23/08/2018 11:40,today 1-m
21,Presunto,0,Carne de porco,GELADEIRA,23/08/2018 11:40,today 1-m
22,Manteiga,0,Alimento,GELADEIRA,23/08/2018 11:40,today 1-m
23,Legume,0,Assunto,GELADEIRA,23/08/2018 11:40,today 1-m
24,Bem-estar,0,Assunto,GELADEIRA,23/08/2018 11:40,today 1-m
0,Fogão,100,Assunto,FOGÃO,23/08/2018 11:40,today 1-m
1,Fogão a lenha,14,Assunto,FOGÃO,23/08/2018 11:40,today 1-m
2,Forno,13,Assunto,FOGÃO,23/08/2018 11:40,today 1-m
3,Brastemp,12,Empresa,FOGÃO,23/08/2018 11:40,today 1-m
4,Fogão,11,Assunto,FOGÃO,23/08/2018 11:40,today 1-m
5,Electrolux,9,Assunto,FOGÃO,23/08/2018 11:40,today 1-m
6,Aço inoxidável,8,Assunto,FOGÃO,23/08/2018 11:40,today 1-m
7,Vidro,7,Forma de arte visual,FOGÃO,23/08/2018 11:40,today 1-m
8,Mesa,6,Assunto,FOGÃO,23/08/2018 11:40,today 1-m
9,Refrigerador,6,Assunto,FOGÃO,23/08/2018 11:40,today 1-m
10,Cozinha,5,Assunto,FOGÃO,23/08/2018 11:40,today 1-m
11,Gás,5,Assunto,FOGÃO,23/08/2018 11:40,today 1-m
12,Casas Bahia,4,Empresa,FOGÃO,23/08/2018 11:40,today 1-m
13,Consul,4,Assunto,FOGÃO,23/08/2018 11:40,today 1-m
14,Churrasco,4,Assunto,FOGÃO,23/08/2018 11:40,today 1-m
15,Magazine Luiza,3,Companhia,FOGÃO,23/08/2018 11:40,today 1-m
16,Armário,2,Assunto,FOGÃO,23/08/2018 11:40,today 1-m
17,Piso,2,Assunto,FOGÃO,23/08/2018 11:40,today 1-m
18,Esmaltec,2,Assunto,FOGÃO,23/08/2018 11:40,today 1-m
19,Ferro,2,Elemento químico,FOGÃO,23/08/2018 11:40,today 1-m
20,Temporizador,2,Assunto,FOGÃO,23/08/2018 11:40,today 1-m
21,Pia,2,Assunto,FOGÃO,23/08/2018 11:40,today 1-m
22,Panela,2,Assunto,FOGÃO,23/08/2018 11:40,today 1-m
23,Forno de micro-ondas,1,Assunto,FOGÃO,23/08/2018 11:40,today 1-m
24,Pontofrio,1,Empresa,FOGÃO,23/08/2018 11:40,today 1-m
0,Ventilador,100,Assunto,VENTILADOR,23/08/2018 11:40,today 1-m
1,Teto,29,Assunto,VENTILADOR,23/08/2018 11:40,today 1-m
2,Ventilador de teto,24,Assunto,VENTILADOR,23/08/2018 11:40,today 1-m
3,Ar,7,Assunto,VENTILADOR,23/08/2018 11:40,today 1-m
4,Motor,6,Assunto,VENTILADOR,23/08/2018 11:40,today 1-m
5,Controlo remoto,5,Assunto,VENTILADOR,23/08/2018 11:40,today 1-m
6,Instalação,4,Arte,VENTILADOR,23/08/2018 11:40,today 1-m
7,Turbocompressor,4,Assunto,VENTILADOR,23/08/2018 11:40,today 1-m
8,Ar-condicionado,4,Assunto,VENTILADOR,23/08/2018 11:40,today 1-m
9,Capacitor,3,Assunto,VENTILADOR,23/08/2018 11:40,today 1-m
10,Hélice,3,Meio de propulsão,VENTILADOR,23/08/2018 11:40,today 1-m
11,Refrigerador,2,Assunto,VENTILADOR,23/08/2018 11:40,today 1-m
12,Britânia,2,Goiás,VENTILADOR,23/08/2018 11:40,today 1-m
13,Lâmpada incandescente,2,Assunto,VENTILADOR,23/08/2018 11:40,today 1-m
14,Energia,2,Assunto,VENTILADOR,23/08/2018 11:40,today 1-m
15,Velocidade,2,Assunto,VENTILADOR,23/08/2018 11:40,today 1-m
16,Vento,2,Assunto,VENTILADOR,23/08/2018 11:40,today 1-m
17,Ruído,2,Assunto,VENTILADOR,23/08/2018 11:40,today 1-m
18,SPIRIT,2,Área industrial no Rio de Janeiro,VENTILADOR,23/08/2018 11:40,today 1-m
19,Cadence,1,Assunto,VENTILADOR,23/08/2018 11:40,today 1-m
20,Leroy Merlin,1,Assunto,VENTILADOR,23/08/2018 11:40,today 1-m
21,Repelente de insetos,1,Assunto,VENTILADOR,23/08/2018 11:40,today 1-m
22,Coluna,1,Assunto,VENTILADOR,23/08/2018 11:40,today 1-m
23,Relé,1,Assunto,VENTILADOR,23/08/2018 11:40,today 1-m
24,Condensador,1,Assunto,VENTILADOR,23/08/2018 11:40,today 1-m
0,Brastemp,100,Empresa,BRASTEMP,23/08/2018 11:40,today 1-m
1,Refrigerador,34,Assunto,BRASTEMP,23/08/2018 11:40,today 1-m
2,Máquina de lavar roupa,24,Assunto,BRASTEMP,23/08/2018 11:40,today 1-m
3,Máquina,22,Assunto,BRASTEMP,23/08/2018 11:40,today 1-m
4,lavar,21,Assunto,BRASTEMP,23/08/2018 11:40,today 1-m
5,Fogão,18,Assunto,BRASTEMP,23/08/2018 11:40,today 1-m
6,Litro,11,Unidade de medida,BRASTEMP,23/08/2018 11:40,today 1-m
7,Aço inoxidável,10,Assunto,BRASTEMP,23/08/2018 11:40,today 1-m
8,Forno de micro-ondas,9,Assunto,BRASTEMP,23/08/2018 11:40,today 1-m
9,Roupa,8,Assunto,BRASTEMP,23/08/2018 11:40,today 1-m
10,Forno,7,Assunto,BRASTEMP,23/08/2018 11:40,today 1-m
11,Fogão,6,Assunto,BRASTEMP,23/08/2018 11:40,today 1-m
12,Electrolux,5,Assunto,BRASTEMP,23/08/2018 11:40,today 1-m
13,Máquina de lavar louça,5,Assunto,BRASTEMP,23/08/2018 11:40,today 1-m
14,Casas Bahia,4,Empresa,BRASTEMP,23/08/2018 11:40,today 1-m
15,Consul,3,Assunto,BRASTEMP,23/08/2018 11:40,today 1-m
16,Secadora de roupas,3,Assunto,BRASTEMP,23/08/2018 11:40,today 1-m
17,Seca,2,Tipo de desastre,BRASTEMP,23/08/2018 11:40,today 1-m
18,Quilograma,2,Unidade básica,BRASTEMP,23/08/2018 11:40,today 1-m
19,Técnica,2,Assunto,BRASTEMP,23/08/2018 11:40,today 1-m
20,Manual de instruções,2,Assunto,BRASTEMP,23/08/2018 11:40,today 1-m
21,Gás,2,Assunto,BRASTEMP,23/08/2018 11:40,today 1-m
22,Pontofrio,2,Empresa,BRASTEMP,23/08/2018 11:40,today 1-m
23,Forno Elétrico,2,Assunto,BRASTEMP,23/08/2018 11:40,today 1-m
24,Cônsul,1,Assunto,BRASTEMP,23/08/2018 11:40,today 1-m
0,Cônsul,100,Assunto,CONSUL,23/08/2018 11:40,today 1-m
1,Consul,83,Assunto,CONSUL,23/08/2018 11:40,today 1-m
2,Refrigerador,75,Assunto,CONSUL,23/08/2018 11:40,today 1-m
3,Máquina,33,Assunto,CONSUL,23/08/2018 11:40,today 1-m
4,Máquina de lavar roupa,32,Assunto,CONSUL,23/08/2018 11:40,today 1-m
5,Fogão,31,Assunto,CONSUL,23/08/2018 11:40,today 1-m
6,Litro,28,Unidade de medida,CONSUL,23/08/2018 11:40,today 1-m
7,lavar,24,Assunto,CONSUL,23/08/2018 11:40,today 1-m
8,Aço inoxidável,17,Assunto,CONSUL,23/08/2018 11:40,today 1-m
9,Brastemp,15,Empresa,CONSUL,23/08/2018 11:40,today 1-m
10,Forno de micro-ondas,14,Assunto,CONSUL,23/08/2018 11:40,today 1-m
11,Ar,12,Assunto,CONSUL,23/08/2018 11:40,today 1-m
12,Ar-condicionado,11,Assunto,CONSUL,23/08/2018 11:40,today 1-m
13,Forno,10,Assunto,CONSUL,23/08/2018 11:40,today 1-m
14,Fábrica de cerveja,9,Assunto,CONSUL,23/08/2018 11:40,today 1-m
15,Electrolux,9,Assunto,CONSUL,23/08/2018 11:40,today 1-m
16,Casas Bahia,9,Empresa,CONSUL,23/08/2018 11:40,today 1-m
17,Fogão,8,Assunto,CONSUL,23/08/2018 11:40,today 1-m
18,Magazine Luiza,8,Companhia,CONSUL,23/08/2018 11:40,today 1-m
19,Vidro,6,Forma de arte visual,CONSUL,23/08/2018 11:40,today 1-m
20,Manual de instruções,4,Assunto,CONSUL,23/08/2018 11:40,today 1-m
21,Técnica,4,Assunto,CONSUL,23/08/2018 11:40,today 1-m
22,BTU,4,Unidade de medida,CONSUL,23/08/2018 11:40,today 1-m
23,Unidade de tratamento de ar,3,Assunto,CONSUL,23/08/2018 11:40,today 1-m
24,Gás,3,Assunto,CONSUL,23/08/2018 11:40,today 1-m
0,Computador,100,Assunto,COMPUTADOR,23/08/2018 11:40,today 1-m
1,Mesa,6,Assunto,COMPUTADOR,23/08/2018 11:40,today 1-m
2,Microsoft Windows,6,Sistema operacional,COMPUTADOR,23/08/2018 11:40,today 1-m
3,Laptop,5,Assunto,COMPUTADOR,23/08/2018 11:40,today 1-m
4,Unidade central de processamento,3,Assunto,COMPUTADOR,23/08/2018 11:40,today 1-m
5,Teclado,3,Periférico do computador,COMPUTADOR,23/08/2018 11:40,today 1-m
6,Dell,3,Empresa,COMPUTADOR,23/08/2018 11:40,today 1-m
7,Wi-Fi,3,Assunto,COMPUTADOR,23/08/2018 11:40,today 1-m
8,Computador pessoal,3,Assunto,COMPUTADOR,23/08/2018 11:40,today 1-m
9,Senha,3,Assunto,COMPUTADOR,23/08/2018 11:40,today 1-m
10,Instalação,3,Computação,COMPUTADOR,23/08/2018 11:40,today 1-m
11,Monitor de vídeo,2,Assunto,COMPUTADOR,23/08/2018 11:40,today 1-m
12,Gamer,2,Assunto,COMPUTADOR,23/08/2018 11:40,today 1-m
13,Arquivo,2,Tipo de organização,COMPUTADOR,23/08/2018 11:40,today 1-m
14,Rede de computadores,2,Assunto,COMPUTADOR,23/08/2018 11:40,today 1-m
15,Positivo Tecnologia,2,Empresa,COMPUTADOR,23/08/2018 11:40,today 1-m
16,Memória,2,Assunto,COMPUTADOR,23/08/2018 11:40,today 1-m
17,Unidade de disco rígido,2,Periférico do computador,COMPUTADOR,23/08/2018 11:40,today 1-m
18,Intel Core i5,2,Assunto,COMPUTADOR,23/08/2018 11:40,today 1-m
19,Sistema operativo,2,Assunto,COMPUTADOR,23/08/2018 11:40,today 1-m
20,Escrivaninha,1,Assunto,COMPUTADOR,23/08/2018 11:40,today 1-m
21,PC Gamer,1,Revista,COMPUTADOR,23/08/2018 11:40,today 1-m
22,Estante,1,Assunto,COMPUTADOR,23/08/2018 11:40,today 1-m
23,Antivírus,1,Assunto,COMPUTADOR,23/08/2018 11:40,today 1-m
24,Computador quântico,0,Assunto,COMPUTADOR,23/08/2018 11:40,today 1-m
0,Dell,100,Empresa,DELL,23/08/2018 11:40,today 1-m
1,Laptop,43,Assunto,DELL,23/08/2018 11:40,today 1-m
